DESCRIPTION OF EQUIPMENT,Manufacturer,Model,RDB_Part_Template
Coastal Surface Piercing Profiler Controller,WET Labs,AMP,Acomms-DUBO_343_Science Bay
Coastal Wire-Following Profiler Controller,McLane,MMP-7,
Communications and Power Manager,WHOI,CPM,Acomms-DUBO_343_Science Bay
Data Concentrator Logger,WHOI,DCL,Acomms-DUBO_343_Science Bay
Global Wire-Following Profiler Controller,McLane,MMP 210-3512,Acomms-DUBO_343_Science Bay
Mobile Asset Controller for Coastal Glider,Teledyne Webb,G2 or G3 Slocum Gliders,Acomms-DUBO_343_Science Bay
Mobile Asset Controller for Profiling Glider,Teledyne Webb,G2 or G3 Slocum Gliders,Acomms-DUBO_343_Science Bay
Mobile Asset Controller for Open Ocean Glider,Teledyne Webb,G2 or G3 Slocum Gliders,Acomms-DUBO_343_Science Bay
Multi-Function Node Communications and Power Manager,WHOI,CPM,Acomms-DUBO_343_Science Bay
Multi-Function Node Data Concentrator Logger,WHOI,DCL,Acomms-DUBO_343_Science Bay
Near Surface Instrument Frame Communications and Power Manager,WHOI,CPM,Acomms-DUBO_343_Science Bay
Near Surface Instrument Frame Data Concentrator Logger,WHOI,DCL,Acomms-DUBO_343_Science Bay
Sensor and Telemetry Platform Controller,WHOI,STC,Acomms-DUBO_343_Science Bay
Subsurface Mooring Platform Controller,SIO,Subsurface Mooring Controller,Acomms-DUBO_343_Science Bay
Surface Buoy Communications and Power Manager,WHOI,CPM,Acomms-DUBO_343_Science Bay
Surface Buoy Data Concentrator Logger,WHOI,DCL,Acomms-DUBO_343_Science Bay
Mobile Asset Controller for Coastal AUV,Hydroid,AUV,Acomms-DUBO_343_Science Bay
