DESCRIPTION OF EQUIPMENT,Manufacturer,Model,RDB_Part_Template
Coastal Glider #,Teledyne Webb,ASSY 4335-1000,Acomms-DUBO_343_Science Bay
Coastal Glider #,Teledyne Webb,ASSY 4335-200,
Coastal Glider #,Teledyne Webb,CSG-0200,Acomms-DUBO_343_Science Bay
Coastal Glider #,Teledyne Webb,CSG-1000,Acomms-DUBO_343_Science Bay
Coastal Glider #,Teledyne Webb,DG-1000,Acomms-DUBO_343_Science Bay
Open Ocean Glider #,Teledyne Webb,ASSY 4495,Acomms-DUBO_343_Science Bay
Profiling Glider #,Teledyne Webb,ASSY 302392-3,Acomms-DUBO_343_Science Bay
Coastal Wire-Following Profiler,McLane,MMP-7,Acomms-DUBO_343_Science Bay
Global Wire-Following Profiler,McLane,MMP-210-3512,Acomms-DUBO_343_Science Bay
Coastal Surface Piercing Profiler Controller,WET Labs,AMP-FAS-540601,Acomms-DUBO_343_Science Bay
Coastal AUV #,Hydroid,REMUS 600,Acomms-DUBO_343_Science Bay
