DESCRIPTION OF EQUIPMENT,Manufacturer,Model,RDB_Part_Template
Cabled ASHES Vent Field: Medium Power Junction Box,UW-APL,RS03ASHS-MJ03B,Acomms-DUBO_343_Science Bay
Cabled ASHES Vent Field: Primary Node,UW-APL,RS03ASHS-PN03B,
Cabled Axial Base Deep Profiler Mooring: Deep Profiler,UW-APL,RS03AXPD-DP03A,Acomms-DUBO_343_Science Bay
Cabled Axial Base Seafloor: Low Voltage Node,UW-APL,RS03AXBS-LV03A,Acomms-DUBO_343_Science Bay
Cabled Axial Base Seafloor: Low Power Junction Box,UW-APL,RS03AXBS-LJ03A,Acomms-DUBO_343_Science Bay
Cabled Axial Base Seafloor: Medium Power Junction Box,UW-APL,RS03AXBS-MJ03A,Acomms-DUBO_343_Science Bay
Cabled Axial Base Shallow Profiler Mooring: Platform Interface Controller,UW-APL,RS03AXPS-PC03A,Acomms-DUBO_343_Science Bay
Cabled Axial Base Shallow Profiler Mooring: Science Pod,UW-APL,RS03AXPS-SF03A,Acomms-DUBO_343_Science Bay
Cabled Central Caldera: Medium Power Junction Box,UW-APL,RS03CCAL-MJ03F,Acomms-DUBO_343_Science Bay
Cabled Eastern Caldera: Medium Power Junction Box,UW-APL,RS03ECAL-MJ03E,Acomms-DUBO_343_Science Bay
Cabled International District Vent Field 1: Medium Power Junction Box,UW-APL,RS03INT1-MJ03C,Acomms-DUBO_343_Science Bay
Cabled International District Vent Field 2: Medium Power Junction Box,UW-APL,RS03INT2-MJ03D,Acomms-DUBO_343_Science Bay
Cabled Oregon Slope Base Deep Profiler Mooring: Deep Profiler,UW-APL,RS01SBPD-DP01A,Acomms-DUBO_343_Science Bay
Cabled Oregon Slope Base Deep Profiler Mooring: Profiler Docking Station,UW-APL,RS01SBPD-PD01A,Acomms-DUBO_343_Science Bay
Cabled Oregon Slope Base Seafloor: Low Power Junction Box,UW-APL,RS01SLBS-LJ01A,Acomms-DUBO_343_Science Bay
Cabled Oregon Slope Base Seafloor: Low Voltage Node,UW-APL,RS01SLBS-LV01A,Acomms-DUBO_343_Science Bay
Cabled Oregon Slope Base Seafloor: Medium Power Junction Box,UW-APL,RS01SLBS-MJ01A,Acomms-DUBO_343_Science Bay
Cabled Oregon Slope Base Shallow Profiler Mooring: Platform Interface Controller,UW-APL,RS01SBPS-PC01A,Acomms-DUBO_343_Science Bay
Cabled Oregon Slope Base Shallow Profiler Mooring: Science Pod,UW-APL,RS01SBPS-SF01A,Acomms-DUBO_343_Science Bay
Cabled Southern Hydrate Summit 1 Seafloor: Low Power Junction Box,UW-APL,RS01SUM1-LJ01B,Acomms-DUBO_343_Science Bay
Cabled Southern Hydrate Summit 1 Seafloor: Low Voltage Node,UW-APL,RS01SUM1-LV01B,Acomms-DUBO_343_Science Bay
Cabled Southern Hydrate Summit 1 Seafloor: Primary Node,UW-APL,RS01SUM1-PN01B,Acomms-DUBO_343_Science Bay
Cabled Southern Hydrate Summit 1 Seafloor: Medium Power Junction Box,UW-APL,RS01SUM2-MJ01B,Acomms-DUBO_343_Science Bay
Coastal Endurance Gliders,Teledyne Webb,CE05MOAS,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Inshore Surface Mooring,WHOI,CE01ISSM,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Inshore Surface Piercing Profiler Mooring,WHOI,CE01ISSP,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Offshore Cabled Benthic Experiment Package: Low Power Junction Box,WHOI,CE04OSBP-LJ01C,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Offshore Cabled Benthic Experiment Package: Low Voltage Node,WHOI,CE04OSBP-LV01C,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Offshore Cabled Deep Profiler Mooring: Deep Profiler,UW-APL,CE04OSPD-DP01B,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Offshore Cabled Shallow Profiler Mooring: Platform Interface Controller,WHOI,CE04OSPS-PC01B,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Offshore Cabled Shallow Profiler Mooring: Science Pod,WHOI,CE04OSPS-SF01B,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Offshore Surface Mooring,WHOI,CE04OSSM,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Shelf Cabled Benthic Experiment Package: Low Power Junction Box,WHOI,CE02SHBP-LJ01D,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Shelf Cabled Benthic Experiment Package: Medium Power Junction Box,WHOI,CE02SHBP-MJ01C,Acomms-DUBO_343_Science Bay
Coastal Endurance Oregon Shelf Surface Mooring,WHOI,CE02SHSM,Acomms-DUBO_343_Science Bay
