DESCRIPTION OF EQUIPMENT,Manufacturer,Model,RDB_Part_Template
2-Wavelength Fluorometer for Glider: FLORD Series M,WET Labs,ECO Puck FLBB-SLC,Acomms-DUBO_343_Science Bay
2-Wavelength Fluorometer: FLNTU Series A,WET Labs,FLNTURTD,
2-Wavelength Fluorometer: FLORD Series D,WET Labs,ECO Triplet-w,Acomms-DUBO_343_Science Bay
2-Wavelength Fluorometer: FLORD Series G,WET Labs,ECO FLBB-SB,Acomms-DUBO_343_Science Bay
2-Wavelength Fluorometer: FLORD Series L,WET Labs,FLBBRTD,Acomms-DUBO_343_Science Bay
3-Axis Motion Pack: MOPAK,MicroStrain,3DM-GX3-25,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series A,Falmouth Scientific,ACM-Plus-MP,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series B,Nobska,MAVS-4,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series C,Nortek,VECTOR,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series D,Nortek,VECTOR,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series K,Nortek,Aquadopp,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series L,Falmouth Scientific,ACM-Plus,Acomms-DUBO_343_Science Bay
3-Wavelength Fluorometer for Glider: FLORT Series M,WET Labs,ECO Puck FLBBCD-SLK,Acomms-DUBO_343_Science Bay
3-Wavelength Fluorometer for Glider: FLORT Series O,WET Labs,ECO Puck BB3,Acomms-DUBO_343_Science Bay
3-Wavelength Fluorometer: FLORT Series D,WET Labs,ECO Triplet-w,Acomms-DUBO_343_Science Bay
3-Wavelength Fluorometer: FLORT Series J,WET Labs,ECO Triplet-w,Acomms-DUBO_343_Science Bay
3-Wavelength Fluorometer: FLORT Series K,WET Labs,ECO Triplet,Acomms-DUBO_343_Science Bay
"ADCP 5-Beam, 600 kHz Acoustic Doppler Current Profiler: VADCP Series A",Teledyne RDI,WH600-I-5BEAM-UG2,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (long range): ADCPS Series I,Teledyne RDI,WHLM75-1500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (long range): ADCPS Series J,Teledyne RDI,WHLS75-1500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (long range): ADCPS Series K,Teledyne RDI,WHLM75-1500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (long range): ADCPS Series L,Teledyne RDI,WHLS75-1500-I,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (long range): ADCPS Series N,Teledyne RDI,WHLS75-6KS-I,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,Teledyne RDI,Explorer DVL 600 kHz,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series A,Teledyne RDI,WHS600-500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series B,Teledyne RDI,WHM300-500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series C,Teledyne RDI,WHS300-500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series D,Teledyne RDI,WHM150-1500,Acomms-DUBO_343_Science Bay
